id,name,age,num_dep,edu
1605,Reginald Reeves,36,3,3
1625,Austin Vega,38,0,1
1627,Thomas Wade,29,1,3
1629,Lindsay Henry,33,3,1
1639,Dominique Lambert,41,1,3
1645,Dustin Robertson,35,0,1
1653,Deborah Goodman,25,1,2
1719,Keith Becker,35,1,3
1725,Brandi Salazar,34,3,2
1735,Felicia Walsh,35,0,2
1759,Kari Franklin,40,1,2
1787,Danielle Cole,44,0,3
1800,Richard Warren,43,0,4
1810,Whitney Hopkins,24,2,2
1832,Gabriel Newton,39,1,5
1846,Meredith Alexander,20,2,6
1860,Jeremiah Hines,42,1,2
1874,Travis Neal,27,1,1
1876,Kristin Wilson,35,3,4
1878,Manuel Riley,38,1,3
1882,Manuel Todd,19,1,3
1906,Hannah Garner,21,1,3
1934,Roy Santiago,18,1,1
1954,Kristin Benson,19,2,2
1956,Kelly Newman,36,2,5
1990,Mario Fuller,20,2,4
2034,Carolyn Cox,23,0,3
2061,Theresa Miller,24,2,2
2075,Andrew Nguyen,38,3,3
2079,Robert Burke,38,2,3
2085,Aaron Oliver,44,0,1
2135,Joanna James,30,1,2
2143,Shannon Garner,33,2,3
2145,Alisha Vaughn,42,2,1
2155,Andrew Goodwin,36,0,2
2165,Henry Conner,39,0,2
2193,Keith Mills,18,2,1
2223,Candace Thompson,32,0,2
2225,Gregory Wilson,42,1,3
2229,Casey Montgomery,42,2,3
2257,Erik Henderson,18,0,3
2261,Nancy Salazar,38,0,2
2267,Adam Holmes,21,2,1
2281,Jordan Torres,33,1,5
2287,Roberto Vasquez,22,2,1
2370,Cheryl Rice,41,1,1
2374,Amanda Griffin,38,2,5
2450,Robert Harmon,38,1,2
2458,Joseph Morgan,23,0,5
2464,Edwin Torres,22,2,2
2468,Craig Conner,21,0,3
2480,Maria Moss,34,2,2
2494,Adam Brewer,21,2,2
2496,Randy Watkins,36,0,5
2504,Gerald Nichols,25,1,4
2522,Brittany Rodriquez,25,2,5
2544,Nicole Webb,35,2,1
2581,Sergio West,26,1,3
2625,Leah Ramsey,27,1,5
2659,Regina Potter,31,2,4
2683,Lacey Johnson,23,0,1
2689,Blake Berry,36,1,5
2693,Valerie Fuller,27,1,2
2695,Seth Reese,42,1,1
2703,Monica West,26,0,5
2725,Dominique Henderson,34,1,5
2735,Adam Meyer,24,2,4
2783,Karen Hughes,28,2,1
2805,Jamie Elliott,38,1,1
2809,Cristina Porter,25,0,5
2818,Brenda Hernandez,37,2,2
2826,Ross Byrd,33,0,2
2830,Beth Perez,30,1,4
2842,Denise Mcdaniel,39,2,4
2860,Ann Perez,42,2,3
2874,Valerie Dunn,29,0,2
2878,Caleb Montgomery,32,0,3
2880,Stacey Larson,24,1,5
2882,Henry King,36,1,6
2884,Felicia Ward,19,0,1
2896,Arthur Simpson,36,0,1
2900,Seth Rodgers,25,0,1
2908,Lisa Flowers,42,2,3
2950,Walter Schmidt,33,1,3
2954,Misty Torres,42,1,5
2980,Alex Daniel,19,1,1
2982,Carla Taylor,42,2,4
2996,Julian Pearson,41,2,2
2998,Anna Leonard,28,1,3
3054,Martin Sutton,34,2,3
3056,Tara Carlson,22,0,3
3064,Roy Robinson,43,2,2
3068,Kevin Dawson,44,3,5
3070,Curtis Jacobs,24,0,3
3103,Victoria Jordan,32,2,2
3111,Victor Perry,28,1,1
3127,Jonathon Hubbard,41,2,2
3133,Edward Myers,37,2,3
3137,Steven Craig,44,1,6
3153,Charles Moore,26,0,3
3161,Kelly Campbell,24,0,2
3171,Henry Alvarez,27,0,4
3175,Martin Hudson,25,2,1
3199,Shannon Fuller,28,2,1
3203,Micheal Benson,43,0,5
3207,Edwin Patterson,30,1,3
3247,Stacey Kelley,34,0,3
3249,Morgan Powell,32,0,1
3255,William Ray,43,0,2
3259,Randy Burton,33,0,1
3261,Francisco Mills,20,0,1
3299,Lawrence Hansen,35,0,3
3325,Katie Burns,36,1,3
3358,Andrew Banks,37,2,5
3384,Nichole Edwards,38,2,2
3422,Calvin Young,31,3,6
3424,Joel Garrett,25,2,5
3432,Craig Freeman,20,0,2
3440,Morgan Henry,27,1,1
3452,Brandon Howell,37,0,3
3472,Brandon Hart,30,0,2
3474,Grant Cummings,37,3,2
3476,Seth Garza,37,2,2
3514,Alex Garza,36,2,2
3516,Cindy Love,26,2,2
3526,Brittany Santiago,36,3,1
3528,Jeffery Norman,32,3,2
3548,Garrett Garner,21,1,2
3554,Edward Romero,19,2,4
3572,Willie Chapman,22,0,5
3578,Gary Reid,28,0,3
3627,Donald Harmon,41,1,4
3629,Robert Walton,27,0,1
3637,Denise Jackson,18,1,2
3645,Ann Stanley,27,2,5
3675,Sharon Jensen,18,2,1
3677,Kristy White,40,3,2
3685,Chad Silva,40,3,2
3689,Julian Wilson,33,1,5
3715,Andre Morgan,23,0,2
3735,Brett Turner,39,1,2
3789,Vanessa Reynolds,28,0,2
3827,Chad Walker,29,1,1
3807,Cynthia Adkins,41,1,1
3840,Shannon Norris,44,0,5
3829,Christina Freeman,32,1,2
3850,Frederick Simmons,31,0,2
3844,Clayton Howell,42,3,6
3864,Jaclyn Hicks,18,1,6
3860,Ricky Sutton,20,1,4
3906,Nancy Ray,36,0,3
3900,Ronald Barber,40,2,2
3950,Marcus Parks,27,2,2
3940,Benjamin Reyes,41,2,3
4032,Robin Carr,22,2,1
4030,Andre Johnson,42,1,1
4139,Luis Byrd,19,2,1
4060,Brendan Valdez,43,2,2
4185,Marcus Brooks,43,0,5
4173,Roberto Hayes,26,1,1
4213,Margaret Murray,24,2,1
4209,Brooke Munoz,19,1,1
4249,Colleen Goodwin,30,1,2
4221,Angelica Weaver,18,0,2
4269,Alejandro Cox,32,0,3
4257,Courtney Reeves,25,1,1
4295,Tamara Davidson,33,2,2
4275,Tiffany Craig,41,0,1
4307,Sean Maldonado,38,0,1
4297,Desiree Lee,20,2,1
4323,Todd Payne,43,3,2
4319,Derrick Hardy,35,1,3
4384,Jillian Patterson,19,0,3
4335,Tasha Barrett,18,2,4
4396,Darrell Barnett,40,1,1
4390,Allison Vasquez,24,1,4
4416,Tyler Castillo,39,1,1
4402,Christopher Ingram,41,2,3
4442,Maria Potter,21,1,6
4436,Alex Cruz,19,2,3
4496,Jamie Steele,26,1,5
4468,Arthur Ross,20,1,2
4580,Laura May,19,2,1
4550,Jasmine Sutton,37,3,5
4633,Latasha George,36,3,2
4600,Lance Weber,41,0,2
4691,Luke Ortiz,34,0,2
4637,Gerald Chandler,19,0,5
4757,Meagan Guzman,27,1,4
4703,Heather Castro,37,2,3
4835,Natasha Sutton,25,2,4
4795,Marie Aguilar,32,1,5
4855,Katelyn Leonard,37,2,3
4839,Melinda Hansen,36,2,2
4886,Lindsay Freeman,28,2,2
4872,Charles Lucas,18,2,5
4898,Jillian Gregory,34,2,2
4890,Manuel Delgado,23,1,1
4930,Mitchell Norman,18,1,2
4922,Bruce Ingram,32,1,4
4964,Crystal Howell,27,1,3
4956,Kristy Mann,23,1,2
4974,Kelsey Ward,40,2,2
4972,Benjamin Leonard,29,0,5
5030,Margaret Little,37,1,5
4980,Nicole Haynes,24,0,3
5044,Corey Cole,40,2,5
5040,Willie Vargas,27,1,1
5084,Cindy Francis,35,0,2
5076,Kristi Austin,26,2,4
5108,Heidi Norman,36,0,2
5104,Kathleen Ellis,25,2,2
5135,Kristin Soto,44,3,1
5110,Ann Wolfe,44,3,3
5179,Regina Olson,27,2,2
5153,Tasha Rivera,37,2,3
5199,Kimberly Douglas,24,2,1
5189,Alan Francis,41,1,2
5219,Lisa Little,37,0,4
5217,Kristina Perez,32,3,5
5247,Gabriel Harmon,42,0,5
5239,David Norris,34,1,2
5337,Walter Rice,35,1,1
5329,Willie Steele,44,3,5
5373,Jaime Garner,28,1,3
5359,Catherine Bowen,39,3,5
5414,Jesus Norris,22,2,2
5400,Jacob Flowers,20,2,1
5428,Kathryn Yates,30,0,5
5420,Cameron Burns,43,1,3
5462,Erin Myers,36,1,5
5456,Stacy Cox,22,0,3
5478,Zachary Nguyen,28,0,1
5476,Alicia Yates,25,2,2
5498,Brandi Love,40,1,3
5482,Tasha Mendez,31,3,3
5510,Crystal Rivera,43,3,6
5506,Sabrina Cooper,19,1,2
5552,Maria Francis,20,1,6
5530,Caitlin Johnson,18,0,5
5655,Brett Moss,44,1,1
5612,Jon Hines,32,1,3
5667,Bryan Stevenson,19,2,2
5657,Kristi Fields,34,3,1
5701,Samuel Stephens,25,2,1
5693,Dawn Jackson,27,1,1
5727,Kristin Ramos,21,0,2
5721,Frank Rodriguez,24,2,2
5815,Ashley Gray,42,3,2
5757,Virginia Kelley,32,3,5
5867,Rebecca Norman,24,1,2
5847,Alisha Castillo,28,2,2
5914,Sandra Dunn,31,3,3
5888,Jesus Medina,18,1,1
5940,Edwin Lewis,35,2,5
5916,Stacy Mcdonald,27,1,6
5986,Bruce Ryan,40,3,1
5958,Caleb Coleman,41,3,1
5994,Candice Hunter,42,2,3
5992,Katrina Wallace,27,0,3
6002,Jenny Walton,26,2,2
5996,Hannah Phillips,19,2,1
6012,Bruce Wilson,31,1,5
6004,Leslie Lawson,18,0,3
6064,Adam Powers,42,0,3
6058,Stefanie Lynch,24,2,3
6098,Alexandra Yates,23,0,3
6094,Logan Cobb,27,2,6
6106,Amanda Simpson,39,1,5
6102,Frank Grant,20,1,6
6149,Krista Parker,32,0,1
6118,Shaun Todd,18,2,1
6165,Kevin Harmon,29,0,2
6159,Benjamin Reeves,24,2,2
6193,Jared Tucker,28,1,1
6181,Billy Olson,25,0,1
6233,Cassandra Ward,36,0,6
6209,Claudia Kelly,36,2,1
6255,Hannah Gardner,43,2,2
6253,Larry Ellis,35,3,2
6289,Darren Burke,30,0,6
6279,Sheena Alvarez,34,2,1
6347,Emily Carr,44,0,2
6291,Mitchell Ramsey,36,1,1
6357,Miranda Neal,40,2,3
6353,Joshua Hawkins,31,1,2
6385,Thomas Hicks,21,1,2
6365,Tina Moreno,34,3,1
6410,Tonya Lopez,33,0,2
6399,Lance Jacobs,36,2,3
6426,Clinton Strickland,37,3,1
6424,Victoria Carr,36,3,3
6518,Kayla Bush,37,1,2
6452,Austin George,23,0,3
6532,Chase White,26,0,4
6530,Kristi Alvarez,34,1,2
6630,Jenny Owens,31,1,2
6614,Abigail Harper,43,0,6
6665,Nicholas Herrera,20,1,3
6644,David Mack,33,2,5
6773,Brett Lewis,24,0,3
6743,Patrick Ferguson,24,1,2
6845,Alan Mendez,31,3,4
6823,Barbara Francis,28,1,2
6895,Heidi Robertson,19,2,2
6893,Kristin Weber,39,3,4
6938,Elizabeth Steele,26,0,3
6922,Felicia Patterson,36,2,1
6994,Kristy Gregory,26,2,4
6980,Alicia Torres,24,0,3
7012,Kara Craig,21,1,1
7000,Nicholas Little,28,2,2
7030,Kristi Russell,41,2,2
7014,Tasha George,40,2,3
7118,Johnny Patterson,34,3,1
7032,Melinda Hughes,40,1,6
7134,Jeffrey Payne,38,1,1
7130,Katrina Douglas,18,0,3
7177,Tony Vaughn,38,0,5
7166,Jeremy Sutton,43,0,1
7215,Adam Shelton,38,1,5
7193,Heather Gonzalez,28,1,2
7221,Javier Parker,18,1,3
7217,Tara Perez,22,2,1
7233,Tyler Todd,23,1,5
7231,Jack Rowe,26,2,2
7243,Kathryn Graves,27,0,3
7241,Francisco Stewart,26,2,1
7261,Nichole Farmer,20,2,2
7249,Erika Hodges,35,2,5
7281,Latasha Robbins,23,1,6
7271,Luis Anderson,20,0,1
7305,Gregory Brown,32,3,1
7295,Dominique Joseph,39,3,5
7309,Manuel Griffith,38,0,4
7307,Danielle Green,37,3,1
7331,Timothy Hansen,30,2,5
7325,Kendra Evans,27,0,3
7339,Cameron Franklin,41,1,3
7335,Brittany Robertson,22,1,4
7375,Carrie Lawson,34,1,5
7347,Kathleen Ramirez,28,0,3
7428,Barbara Silva,23,1,2
7383,Martin Frazier,36,2,2
7464,Brendan Baker,29,2,2
7442,Curtis Brooks,40,3,5
7492,Troy Chandler,38,1,3
7490,Jack Reese,27,1,1
7520,Carl Mendez,41,0,3
7496,Russell Simpson,23,1,3
7566,Dawn Meyer,27,2,3
7556,Holly Silva,35,3,6
7610,Miranda Carlson,19,2,2
7606,April Brown,35,3,2
7624,Stacey Dennis,25,0,6
7620,Julie Holmes,35,2,3
7668,Erica Jenkins,40,0,4
7664,Randall Hoffman,22,0,2
7733,Candice Garza,21,1,5
7707,Meredith Johnston,20,1,1
7741,Cristina Jones,43,2,2
7737,Jamie Glover,36,0,4
7797,Rodney Ellis,27,0,2
7767,Frank West,42,2,1
7807,Alexis Palmer,30,0,4
7803,Latasha Perry,23,1,5
7819,Wesley Roberts,30,3,6
7809,Jamie Cox,21,2,4
7885,Joe Payne,38,1,4
7845,Juan Glover,23,0,1
7936,Frank Jimenez,24,0,1
7921,Isaac Warner,24,2,1
8026,Terry Berry,34,2,2
7980,Brendan Carroll,24,1,4
8070,Roger Flowers,25,0,5
8046,Kara Knight,39,3,5
8094,Antonio Fox,43,3,3
8082,Amanda Henry,28,2,1
8136,Evan Myers,35,1,2
8106,Megan Miles,18,2,3
8180,Edward James,24,1,2
8154,Nicholas King,21,0,2
8219,Taylor Mann,22,0,2
8182,Wesley Munoz,23,0,3
8263,Luis Cole,24,0,6
8257,Ana Hubbard,44,1,3
8283,Katelyn Payne,40,0,1
8271,Devin Cook,44,3,1
8329,Brooke Ruiz,43,3,1
8297,Ricky Ortega,43,2,5
8357,Sharon Howard,23,0,5
8345,Melissa Castillo,21,1,4
8405,Corey Welch,38,1,4
8375,Geoffrey Dunn,29,1,1
8435,Nathaniel Cummings,41,0,6
8411,Vanessa Bush,34,1,2
8445,Stephen Webster,35,3,4
8437,Erica Perry,41,1,3
8448,Morgan Stewart,30,1,1
8466,Zachary Terry,43,0,3
8488,Javier James,36,1,2
8508,Fernando Hammond,18,1,5
8516,Natalie Hart,27,1,3
8528,Phillip Lucas,39,3,5
8566,Natalie Peters,34,3,5
8618,Arthur Byrd,39,1,4
8620,Brian Byrd,31,2,2
8634,Tracy Nguyen,41,0,3
8650,Heather Harvey,40,0,4
8654,Omar Price,31,1,3
8670,Edwin Chapman,25,2,1
8702,Brandon Howard,28,0,3
8711,Richard Reese,20,0,6
8717,Alexander Hansen,37,2,3
8721,Cynthia Sims,41,3,5
8775,Brent Mason,37,0,2
8779,Taylor Sanders,32,0,1
8843,Maurice Parker,44,2,4
8875,Anna Blair,21,1,1
8879,Carla Webster,27,0,4
8901,Erika Miller,31,2,1
8929,Amanda Silva,33,2,2
8931,Margaret Reynolds,25,1,4
8937,Natasha Oliver,28,1,2
8955,Micheal Cannon,35,0,3
8968,Jessica Stephens,43,2,3
8998,Rachael Wood,32,2,6
9012,Hannah Wells,26,1,3
9026,Paul Stephens,44,3,1
9032,George Russell,34,2,5
9044,Micheal Morrison,37,1,1
9078,Zachary Young,36,0,5
9096,Adam Carlson,30,0,3
9104,Alexis Ingram,36,1,6
9108,Dustin Patton,21,1,2
9138,Julian Chapman,20,0,3
9148,Isaac Frazier,28,1,2
9180,Brandi Perry,41,3,2
9204,Manuel Jordan,40,3,2
9206,Meagan Thompson,28,0,5
9208,Virginia Mason,44,2,1
9210,Leslie Warner,19,0,1
9214,Cody Bates,38,0,2
9219,Regina Young,30,3,1
9243,Gary Townsend,18,0,6
9249,Juan Mack,31,3,3
9271,Dawn Bush,20,0,5
9275,Jaime Nguyen,18,2,3
9277,Caitlin Obrien,21,1,4
9281,Heidi Nichols,27,2,1
9283,Katelyn Diaz,20,1,2
9301,Ross Barber,29,1,2
9303,John Miller,19,2,1
9339,Adrian Washington,28,1,2
9345,Mitchell Howell,23,2,3
9357,Jay Neal,18,0,2
9361,Wesley Aguilar,30,0,1
9363,Kathryn Malone,26,1,2
9383,Holly Dunn,27,0,2
9433,Jacob Newman,34,3,2
9453,Ana Lowe,30,1,1
9463,Nicholas Jordan,38,0,6
9469,Maurice Morales,26,1,2
9490,Lisa Fernandez,28,1,2
9496,Roberto Hall,18,0,1
9536,Jerry Mullins,19,2,3
9540,Rebekah Fields,24,2,1
9546,Tina Chandler,44,2,5
9600,Ian Steele,34,1,4
9626,Lance Pierce,35,3,2
9648,Thomas Dean,43,0,6
9658,Gregory Mendez,40,3,2
9684,Erin Beck,24,2,2
9726,Edwin Hughes,36,0,2
9745,Julie Ingram,35,2,5
9749,Anne Nguyen,26,0,2
9757,Keith Gutierrez,23,1,1
9765,Stephanie Reeves,44,0,6
9767,Regina Dennis,23,1,2
9779,Jeffrey May,28,1,3
9803,Arthur Austin,23,0,3
9817,Kristina Mendoza,34,1,6
9867,Cheryl Mendoza,22,1,1
9875,Dennis West,35,3,1
9889,Pamela Webster,20,0,3
9947,Danielle Blair,36,3,5
10002,Mark Reed,31,1,2
10012,Adrian Johnson,25,1,5
10034,Chelsea Martin,24,2,2
10050,Marissa Parker,24,1,4
10052,Cassandra Oliver,42,0,5
10058,Mathew Montgomery,39,2,2
10064,Jordan Dawson,25,1,1
10084,Albert Townsend,21,2,2
10132,Jeffrey Perez,29,2,1
10142,Whitney Reid,39,2,1
10144,Troy Barrett,44,1,1
10158,Angel Sanders,24,2,3
10202,Linda Greene,27,0,2
10253,Jennifer Thompson,32,0,2
10261,Jonathan Lyons,31,1,1
10277,Vanessa Welch,30,2,1
10283,Catherine Foster,41,3,3
10303,Richard Lyons,31,0,1
10337,Megan Mason,44,1,5
10361,Sandra Herrera,27,2,5
10363,Ricardo Gray,42,1,1
10373,Douglas Jacobs,25,0,1
10387,Caleb Collins,34,2,3
10397,Ruben Torres,39,3,2
10405,Johnny Beck,44,2,1
10423,Ann Simpson,31,3,2
10473,Walter Mann,40,3,3
10479,Logan Pearson,22,1,2
10485,Nancy Tate,41,2,2
10489,Peter Holland,20,0,4
10496,Pamela Olson,35,3,2
10544,Ashley Adkins,37,2,1
10550,Andrew Long,23,0,2
10564,Valerie Ryan,44,3,3
10568,Bobby Rivera,31,3,2
10582,Kristen Armstrong,33,3,2
10596,Cassie Harrison,34,2,3
10604,Meredith Tate,21,1,2
10620,Julian Cunningham,22,1,1
10626,Sarah Martinez,33,2,6
10656,Shaun Weaver,20,2,3
10712,Jorge Chapman,18,1,3
10720,Alex Chavez,32,2,6
10724,Corey Jacobs,32,2,1
10728,Ann Morrison,39,1,2
10781,Tamara Moss,38,1,2
10783,Edward Watts,40,0,1
10815,Clayton Blair,36,3,1
10831,Jerry Silva,42,0,3
10837,Blake Wolfe,41,1,3
10871,Julie Lawrence,38,3,5
10919,Mario Mccoy,41,2,3
10933,Caroline Franklin,31,0,1
10975,Erika Lyons,21,1,3
10987,Brandi Joseph,27,2,5
11008,Ebony Miles,42,2,1
11012,Nichole Coleman,22,2,2
11050,Sean Mitchell,40,1,1
11070,Zachary Tate,28,2,1
11080,Dawn Lopez,43,0,1
11084,Julia Silva,39,1,2
11094,Derrick Caldwell,33,0,6
11122,Ryan George,30,0,2
11138,Johnathan Reid,42,0,5
11140,Raymond Foster,37,3,2
11146,Adam Fisher,20,2,2
11150,Andrea Berry,24,0,3
11156,Jacqueline Hunt,24,1,1
11174,Tony Castro,28,1,2
11182,Jay Todd,44,0,4
11192,Casey Thompson,43,0,3
11210,Alan Hayes,30,3,3
11218,Sharon Craig,22,2,5
11222,Angel Russell,34,0,4
11240,Drew Armstrong,24,0,2
11242,Jessica Pierce,23,2,2
11250,Lacey Crawford,23,0,3
11269,Jose Ryan,28,0,2
11275,Fernando Stephens,30,1,2
11281,Matthew Johnston,41,0,3
11307,Alex Taylor,32,1,2
11313,Tonya Morris,30,1,1
11323,Whitney Herrera,20,0,1
11345,Lacey Arnold,19,0,3
11391,Russell Howell,22,1,3
11401,Ashley Barnett,30,3,2
11407,Omar Davidson,21,1,5
11431,Angelica Harmon,39,1,2
11457,Daniel Santiago,41,1,3
11489,Carl Stewart,29,1,5
11501,Sergio Cole,29,1,1
11517,Jeffrey Craig,27,1,3
11528,Geoffrey Norris,38,2,2
11538,Ricky Jensen,18,0,3
11552,Jorge George,30,2,1
11558,Peter Wilson,24,0,1
11576,Christy Little,25,1,3
11616,Jason Love,21,0,6
11630,Colleen Hall,21,0,4
11640,Meredith Peters,25,2,1
11682,Brenda Montgomery,33,3,2
11708,Ashley Murray,41,2,1
11710,Stacy Arnold,29,1,3
11718,Aaron Dunn,25,2,4
11722,Cynthia Cox,42,3,3
11726,Micheal Adkins,21,2,2
11740,Natasha Hoffman,42,1,2
11758,Joe Coleman,22,2,2
11779,Teresa Nichols,18,0,3
11785,Krista Myers,31,1,2
11787,Javier Rivera,41,3,5
11791,Louis Miles,22,0,3
11821,Brad Kelly,26,2,3
11829,Tabitha Love,21,2,2
11841,Lori Morales,28,0,5
11847,Danny Harvey,24,0,1
11901,Bryan Weaver,26,0,3
11987,Frederick Montgomery,40,1,3
12025,Sarah Hart,39,3,4
12080,Miranda Hansen,32,2,2
12092,Kimberly Thomas,24,2,3
12132,Lawrence Davis,42,3,3
12146,Alexis Hicks,19,2,2
12152,Lindsay Mendez,42,0,6
12160,David Curtis,41,3,3
12174,Jon Peters,42,3,5
12184,Latoya Dean,34,1,2
12198,Colleen Freeman,39,3,2
12216,Bryan Martinez,44,1,6
12218,Olivia Lawson,36,1,1
12220,Teresa Mullins,38,2,1
12234,Tiffany Chapman,31,3,5
12266,Christian Glover,33,1,2
12270,Stacy Swanson,26,1,5
12291,Omar Collins,22,0,3
12313,Natalie Castro,35,0,2
12317,Troy Cooper,32,0,2
12345,David Carpenter,30,2,3
12349,Todd Perry,31,1,5
12355,Charles Garrett,37,0,3
12359,Brittney Russell,30,0,2
12381,Micheal Martinez,36,2,1
12433,Gerald Reeves,40,3,3
12441,Jacob Young,40,1,3
12465,Antonio Richards,31,3,1
12523,Omar Stephens,42,1,5
12525,Gregory Gibson,28,1,5
12558,Cynthia Ortega,40,1,3
12572,Tara Tucker,33,2,3
12636,Keith Greene,42,2,3
12640,Heather Hart,39,3,2
12650,Miguel Fleming,42,3,1
12654,Mary Burgess,33,0,3
12660,Valerie Lee,32,2,1
12684,Danielle Higgins,28,1,3
12714,Amber Gonzalez,26,1,3
12722,Corey Grant,30,1,3
12750,Shawn Maldonado,28,2,1
12762,Whitney Kim,41,2,5
12764,Jose Cohen,26,2,2
12790,Luke Cohen,38,1,1
12798,Dawn Wood,31,1,2
12805,Caitlin Terry,30,3,5
12809,Monica Morris,33,3,1
12823,Julian Davidson,40,3,2
12839,Alexis Carr,39,3,6
12845,Randy Miles,28,2,2
12847,Eric Hale,27,0,1
12871,Francisco Fletcher,38,2,2
12865,Jamie Rogers,37,0,2
12897,Tanya Snyder,25,0,3
12887,Larry Moss,33,1,2
12941,Todd Lawson,28,0,1
12937,Tyler Mills,32,0,5
12959,Ryan Bailey,43,1,5
12953,Seth Reid,44,0,3
13031,Javier Lyons,28,2,2
12979,Shane Adams,32,0,4
13060,Ann Parker,28,0,1
13039,Christina Oliver,27,1,3
13068,Zachary Fletcher,31,2,3
13064,Charles Hines,35,1,5
13120,Victoria Allen,27,0,2
13096,Lucas Steele,44,3,1
13130,Megan Caldwell,36,0,5
13126,Amy Herrera,25,2,2
13170,Kyle Gomez,30,3,1
13162,Julia Butler,29,2,1
13256,Cynthia Ford,26,0,6
13184,Danielle Mcdonald,38,2,5
13282,April Schultz,36,1,5
13274,Richard Walsh,20,1,2
13292,Jose Hopkins,25,0,1
13284,Steven Graham,21,2,2
13327,Marcus Garrett,37,2,4
13302,Charles Woods,36,3,4
13355,Tyler Mccoy,19,1,6
13341,Cody Berry,28,1,1
13401,Kevin Elliott,43,1,5
13373,Jesus Patterson,24,0,1
13455,Adam Mitchell,36,2,5
13439,Kelli Henry,38,2,3
13493,Philip Hart,37,0,3
13489,Jeremy Nguyen,24,0,5
13519,Darren Owens,21,1,2
13499,Sandra Andrews,33,3,6
13568,Jenna Carpenter,33,0,4
13521,Stacey Chambers,28,2,1
13614,Russell Rowe,21,1,1
13596,Reginald Baldwin,28,1,5
13654,Adam Freeman,44,3,3
13632,Leslie Carr,39,2,2
13682,Gabriel Mullins,19,0,4
